Reati,Coeff_reato,Coeff_tot_reati
strage,0,0
omicidi,0.64,0.0364
tentati omicidi,0.36,0.0182
percosse,0.01,0.0001
lesioni dolose,0.03,0.016
minacce,0,0
sequestri di persona,0.5,0.0006
violenze sessuali,0.18,0.0351
atti sessuali con minorenne,0.18,0.0038
corruzione di minorenne,0,0
sfruttamento e favoreggiamento della prostituzione,0.12,0.0002
pornografia minorile e detenzione di materiale pedopornografico,0.16,0.0037
furti,0.03,0.128
rapine,0.13,0.266
estorsioni,0.14,0.0379
truffe e frodi informatiche,0.04,0.0008
delitti informatici,0,0
contraffazione di marchi e prodotti industriali,0,0
violazione della propriet� intellettuale,0,0
ricettazione,0.05,0.0497
riciclaggio e impiego di denaro beni o utilità  di provenienza illecita,0.07,0.0036
usura,0.1,0.0002
danneggiamenti,0,0
incendi,0.09,0.0016
danneggiamento seguito da incendi,0,0
normativa sugli stupefacenti,0.09,0.1279
attentati,0,0
associazione per delinquere,0.26,0.0008
associazione di tipo mafioso,0.27,0.0021
contrabbando,0,0
