"Territorio","Period","Value"
"Italia","2020","59641488"
"Nord-ovest","2020","15988679"
"Piemonte","2020","4311217"
"Valle d'Aosta","2020","125034"
"Liguria","2020","1524826"
"Lombardia","2020","10027602"
"Nord-est","2020","11627537"
"Trentino Alto Adige","2020","1078069"
"Provincia Autonoma Bolzano / Bozen","2020","532644"
"Provincia Autonoma Trento","2020","545425"
"Veneto","2020","4879133"
"Friuli-Venezia Giulia","2020","1206216"
"Emilia-Romagna","2020","4464119"
"Centro","2020","11831092"
"Toscana","2020","3692555"
"Umbria","2020","870165"
"Marche","2020","1512672"
"Lazio","2020","5755700"
"Sud","2020","13707269"
"Abruzzo","2020","1293941"
"Molise","2020","300516"
"Campania","2020","5712143"
"Puglia","2020","3953305"
"Basilicata","2020","553254"
"Calabria","2020","1894110"
"Isole","2020","6486911"
"Sicilia","2020","4875290"
"Sardegna","2020","1611621"
