Region,Code,Crime_name,Year,Value
Italia,MASSMURD,strage,2010,12
Italia,MASSMURD,strage,2011,14
Italia,MASSMURD,strage,2012,18
Italia,MASSMURD,strage,2013,10
Italia,MASSMURD,strage,2014,20
Italia,MASSMURD,strage,2015,20
Italia,MASSMURD,strage,2016,15
Italia,MASSMURD,strage,2017,17
Italia,MASSMURD,strage,2018,20
Italia,MASSMURD,strage,2019,14
Italia,INTENHOM,omicidi volontari consumati,2010,526
Italia,INTENHOM,omicidi volontari consumati,2011,550
Italia,INTENHOM,omicidi volontari consumati,2012,528
Italia,INTENHOM,omicidi volontari consumati,2013,502
Italia,INTENHOM,omicidi volontari consumati,2014,475
Italia,INTENHOM,omicidi volontari consumati,2015,469
Italia,INTENHOM,omicidi volontari consumati,2016,400
Italia,INTENHOM,omicidi volontari consumati,2017,368
Italia,INTENHOM,omicidi volontari consumati,2018,331
Italia,INTENHOM,omicidi volontari consumati,2019,318
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2010,35
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2011,28
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2012,43
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2013,33
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2014,27
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2015,35
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2016,19
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2017,16
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2018,12
Italia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2019,9
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2010,69
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2011,53
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2012,68
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2013,52
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2014,45
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2015,43
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2016,48
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2017,44
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2018,19
Italia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2019,28
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2010,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2011,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2012,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2013,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2014,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2015,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2016,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2017,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2018,0
Italia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2019,0
Italia,ATTEMPHOM,tentati omicidi,2010,1309
Italia,ATTEMPHOM,tentati omicidi,2011,1401
Italia,ATTEMPHOM,tentati omicidi,2012,1327
Italia,ATTEMPHOM,tentati omicidi,2013,1222
Italia,ATTEMPHOM,tentati omicidi,2014,1250
Italia,ATTEMPHOM,tentati omicidi,2015,1203
Italia,ATTEMPHOM,tentati omicidi,2016,1079
Italia,ATTEMPHOM,tentati omicidi,2017,1098
Italia,ATTEMPHOM,tentati omicidi,2018,1050
Italia,ATTEMPHOM,tentati omicidi,2019,1019
Italia,INFANTHOM,infanticidi,2010,3
Italia,INFANTHOM,infanticidi,2011,2
Italia,INFANTHOM,infanticidi,2012,2
Italia,INFANTHOM,infanticidi,2013,2
Italia,INFANTHOM,infanticidi,2014,3
Italia,INFANTHOM,infanticidi,2015,1
Italia,INFANTHOM,infanticidi,2016,3
Italia,INFANTHOM,infanticidi,2017,2
Italia,INFANTHOM,infanticidi,2018,4
Italia,INFANTHOM,infanticidi,2019,2
Italia,MANSHOM,omicidi preterintenzionali,2010,38
Italia,MANSHOM,omicidi preterintenzionali,2011,31
Italia,MANSHOM,omicidi preterintenzionali,2012,33
Italia,MANSHOM,omicidi preterintenzionali,2013,37
Italia,MANSHOM,omicidi preterintenzionali,2014,34
Italia,MANSHOM,omicidi preterintenzionali,2015,20
Italia,MANSHOM,omicidi preterintenzionali,2016,24
Italia,MANSHOM,omicidi preterintenzionali,2017,25
Italia,MANSHOM,omicidi preterintenzionali,2018,36
Italia,MANSHOM,omicidi preterintenzionali,2019,35
Italia,UNINTHOM,omicidi colposi,2010,1765
Italia,UNINTHOM,omicidi colposi,2011,1783
Italia,UNINTHOM,omicidi colposi,2012,1716
Italia,UNINTHOM,omicidi colposi,2013,1597
Italia,UNINTHOM,omicidi colposi,2014,1633
Italia,UNINTHOM,omicidi colposi,2015,1745
Italia,UNINTHOM,omicidi colposi,2016,1628
Italia,UNINTHOM,omicidi colposi,2017,1706
Italia,UNINTHOM,omicidi colposi,2018,1733
Italia,UNINTHOM,omicidi colposi,2019,1759
Italia,ROADHOM,omicidi colposi da incidente stradale,2010,1327
Italia,ROADHOM,omicidi colposi da incidente stradale,2011,1285
Italia,ROADHOM,omicidi colposi da incidente stradale,2012,1211
Italia,ROADHOM,omicidi colposi da incidente stradale,2013,1049
Italia,ROADHOM,omicidi colposi da incidente stradale,2014,1087
Italia,ROADHOM,omicidi colposi da incidente stradale,2015,1121
Italia,ROADHOM,omicidi colposi da incidente stradale,2016,1146
Italia,ROADHOM,omicidi colposi da incidente stradale,2017,1163
Italia,ROADHOM,omicidi colposi da incidente stradale,2018,1094
Italia,ROADHOM,omicidi colposi da incidente stradale,2019,1098
Italia,BLOWS,percosse,2010,14270
Italia,BLOWS,percosse,2011,15196
Italia,BLOWS,percosse,2012,15659
Italia,BLOWS,percosse,2013,15606
Italia,BLOWS,percosse,2014,15285
Italia,BLOWS,percosse,2015,15249
Italia,BLOWS,percosse,2016,13819
Italia,BLOWS,percosse,2017,14142
Italia,BLOWS,percosse,2018,13944
Italia,BLOWS,percosse,2019,14395
Italia,CULPINJU,lesioni dolose,2010,64866
Italia,CULPINJU,lesioni dolose,2011,68500
Italia,CULPINJU,lesioni dolose,2012,69527
Italia,CULPINJU,lesioni dolose,2013,66317
Italia,CULPINJU,lesioni dolose,2014,66178
Italia,CULPINJU,lesioni dolose,2015,64042
Italia,CULPINJU,lesioni dolose,2016,63153
Italia,CULPINJU,lesioni dolose,2017,64814
Italia,CULPINJU,lesioni dolose,2018,65382
Italia,CULPINJU,lesioni dolose,2019,64891
Italia,MENACE,minacce,2010,81164
Italia,MENACE,minacce,2011,83316
Italia,MENACE,minacce,2012,86347
Italia,MENACE,minacce,2013,86294
Italia,MENACE,minacce,2014,85211
Italia,MENACE,minacce,2015,82539
Italia,MENACE,minacce,2016,75011
Italia,MENACE,minacce,2017,75648
Italia,MENACE,minacce,2018,74970
Italia,MENACE,minacce,2019,74726
Italia,KIDNAPP,sequestri di persona,2010,1436
Italia,KIDNAPP,sequestri di persona,2011,1443
Italia,KIDNAPP,sequestri di persona,2012,1474
Italia,KIDNAPP,sequestri di persona,2013,1353
Italia,KIDNAPP,sequestri di persona,2014,1278
Italia,KIDNAPP,sequestri di persona,2015,1166
Italia,KIDNAPP,sequestri di persona,2016,1048
Italia,KIDNAPP,sequestri di persona,2017,1039
Italia,KIDNAPP,sequestri di persona,2018,960
Italia,KIDNAPP,sequestri di persona,2019,855
Italia,OFFENCE,ingiurie,2010,62230
Italia,OFFENCE,ingiurie,2011,65370
Italia,OFFENCE,ingiurie,2012,67213
Italia,OFFENCE,ingiurie,2013,66414
Italia,OFFENCE,ingiurie,2014,64601
Italia,OFFENCE,ingiurie,2015,58620
Italia,OFFENCE,ingiurie,2016,15781
Italia,OFFENCE,ingiurie,2017,2064
Italia,RAPE,violenze sessuali,2010,4813
Italia,RAPE,violenze sessuali,2011,4617
Italia,RAPE,violenze sessuali,2012,4689
Italia,RAPE,violenze sessuali,2013,4488
Italia,RAPE,violenze sessuali,2014,4257
Italia,RAPE,violenze sessuali,2015,4000
Italia,RAPE,violenze sessuali,2016,4046
Italia,RAPE,violenze sessuali,2017,4634
Italia,RAPE,violenze sessuali,2018,4887
Italia,RAPE,violenze sessuali,2019,4884
Italia,RAPEUN18,atti sessuali con minorenne,2010,582
Italia,RAPEUN18,atti sessuali con minorenne,2011,489
Italia,RAPEUN18,atti sessuali con minorenne,2012,558
Italia,RAPEUN18,atti sessuali con minorenne,2013,523
Italia,RAPEUN18,atti sessuali con minorenne,2014,494
Italia,RAPEUN18,atti sessuali con minorenne,2015,505
Italia,RAPEUN18,atti sessuali con minorenne,2016,458
Italia,RAPEUN18,atti sessuali con minorenne,2017,483
Italia,RAPEUN18,atti sessuali con minorenne,2018,495
Italia,RAPEUN18,atti sessuali con minorenne,2019,518
Italia,CORRUPUN18,corruzione di minorenne,2010,175
Italia,CORRUPUN18,corruzione di minorenne,2011,143
Italia,CORRUPUN18,corruzione di minorenne,2012,120
Italia,CORRUPUN18,corruzione di minorenne,2013,155
Italia,CORRUPUN18,corruzione di minorenne,2014,173
Italia,CORRUPUN18,corruzione di minorenne,2015,148
Italia,CORRUPUN18,corruzione di minorenne,2016,140
Italia,CORRUPUN18,corruzione di minorenne,2017,171
Italia,CORRUPUN18,corruzione di minorenne,2018,151
Italia,CORRUPUN18,corruzione di minorenne,2019,173
Italia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2010,1586
Italia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2011,1505
Italia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2012,1306
Italia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2013,1170
Italia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2014,1100
